alpha	precision	recall	pred.col
0.004927	0.172839506172839	0.823529411764706	K562_K562HiC.ABC.Score
0.004926	0.170731707317073	0.823529411764706	K562_K562HiC.ABC.Score
0.004906	0.168674698795181	0.823529411764706	K562_K562HiC.ABC.Score
0.004893	0.166666666666667	0.823529411764706	K562_K562HiC.ABC.Score
0.004841	0.164705882352941	0.823529411764706	K562_K562HiC.ABC.Score
0.004711	0.162790697674419	0.823529411764706	K562_K562HiC.ABC.Score
0.004388	0.160919540229885	0.823529411764706	K562_K562HiC.ABC.Score
0.004298	0.159090909090909	0.823529411764706	K562_K562HiC.ABC.Score
0.004135	0.157303370786517	0.823529411764706	K562_K562HiC.ABC.Score
0.004082	0.155555555555556	0.823529411764706	K562_K562HiC.ABC.Score
0.004079	0.153846153846154	0.823529411764706	K562_K562HiC.ABC.Score
0.003914	0.152173913043478	0.823529411764706	K562_K562HiC.ABC.Score
0.003891	0.150537634408602	0.823529411764706	K562_K562HiC.ABC.Score
0.003757	0.148936170212766	0.823529411764706	K562_K562HiC.ABC.Score
0.00367	0.147368421052632	0.823529411764706	K562_K562HiC.ABC.Score
0.003624	0.145833333333333	0.823529411764706	K562_K562HiC.ABC.Score
0.003565	0.144329896907216	0.823529411764706	K562_K562HiC.ABC.Score
0.003498	0.142857142857143	0.823529411764706	K562_K562HiC.ABC.Score
0.003445	0.141414141414141	0.823529411764706	K562_K562HiC.ABC.Score
0.003366	0.14	0.823529411764706	K562_K562HiC.ABC.Score
0.003308	0.138613861386139	0.823529411764706	K562_K562HiC.ABC.Score
0.003289	0.137254901960784	0.823529411764706	K562_K562HiC.ABC.Score
0.003224	0.135922330097087	0.823529411764706	K562_K562HiC.ABC.Score
0.003172	0.134615384615385	0.823529411764706	K562_K562HiC.ABC.Score
0.003061	0.133333333333333	0.823529411764706	K562_K562HiC.ABC.Score
0.003011	0.132075471698113	0.823529411764706	K562_K562HiC.ABC.Score
0.002998	0.130841121495327	0.823529411764706	K562_K562HiC.ABC.Score
0.002973	0.12962962962963	0.823529411764706	K562_K562HiC.ABC.Score
0.002906	0.128440366972477	0.823529411764706	K562_K562HiC.ABC.Score
0.002866	0.127272727272727	0.823529411764706	K562_K562HiC.ABC.Score
0.002841	0.126126126126126	0.823529411764706	K562_K562HiC.ABC.Score
0.002789	0.125	0.823529411764706	K562_K562HiC.ABC.Score
0.00276	0.123893805309735	0.823529411764706	K562_K562HiC.ABC.Score
0.002717	0.12280701754386	0.823529411764706	K562_K562HiC.ABC.Score
